,radius,conc,steps seeds,steps walkers,fractal dimension
397,4,0.040034,3.0,2.375,2.2516
398,4,0.040034,3.0,3.0,2.2355
399,4,0.055285,0.5,0.5,2.4998
400,4,0.055285,0.5,1.125,2.4746
401,4,0.055285,0.5,1.75,2.4751
402,4,0.055285,0.5,2.375,2.4659
403,4,0.055285,0.5,3.0,2.4819999999999998
404,4,0.055285,1.125,0.5,2.4715
405,4,0.055285,1.125,1.125,2.4638
406,4,0.055285,1.125,1.75,2.4675
407,4,0.055285,1.125,2.375,2.4675
408,4,0.055285,1.125,3.0,2.4772
409,4,0.055285,1.75,0.5,2.4287
410,4,0.055285,1.75,1.125,2.434
411,4,0.055285,1.75,1.75,2.4499
412,4,0.055285,1.75,2.375,2.4378
413,4,0.055285,1.75,3.0,2.4214
414,4,0.055285,2.375,0.5,2.4229
415,4,0.055285,2.375,1.125,2.3954
416,4,0.055285,2.375,1.75,2.387
417,4,0.055285,2.375,2.375,2.3782
418,4,0.055285,2.375,3.0,2.3932
419,4,0.055285,3.0,0.5,2.3611
420,4,0.055285,3.0,1.125,2.3437
421,4,0.055285,3.0,1.75,2.3978
422,4,0.055285,3.0,2.375,2.3708
423,4,0.055285,3.0,3.0,2.3755
424,4,0.0699,0.5,0.5,2.5502
425,4,0.0699,0.5,1.125,2.544
426,4,0.0699,0.5,1.75,2.5171
427,4,0.0699,0.5,2.375,2.5274
428,4,0.0699,0.5,3.0,2.5387
429,4,0.0699,1.125,0.5,2.519
430,4,0.0699,1.125,1.125,2.5106
431,4,0.0699,1.125,1.75,2.5293
432,4,0.0699,1.125,2.375,2.5541
433,4,0.0699,1.125,3.0,2.5032
434,4,0.0699,1.75,0.5,2.5169
435,4,0.0699,1.75,1.125,2.5139
436,4,0.0699,1.75,1.75,2.4857
437,4,0.0699,1.75,2.375,2.5196
438,4,0.0699,1.75,3.0,2.4916
439,4,0.0699,2.375,0.5,2.4765
440,4,0.0699,2.375,1.125,2.4761
441,4,0.0699,2.375,1.75,2.4575
